indicator_id,cic_id
I1043,CIC.1
I1052,CIC.1
I1059,CIC.1
I1060,CIC.1
I1061,CIC.1
I1064,CIC.1
I1068,CIC.1
I1071,CIC.1
I1074,CIC.1
I1078,CIC.1
I1079,CIC.1
I1085,CIC.1
I1089,CIC.1
I1090,CIC.1
I1091,CIC.1
I1092,CIC.1
I1093,CIC.1
I1094,CIC.1
I1095,CIC.1
I1096,CIC.1
I1098,CIC.1
I1100,CIC.1
I1013,CIC.2
I1020,CIC.2
I1025,CIC.2
I1026,CIC.2
I1028,CIC.2
I1039,CIC.2
I1044,CIC.2
I1059,CIC.2
I1060,CIC.2
I1061,CIC.2
I1064,CIC.2
I1071,CIC.2
I1074,CIC.2
I1079,CIC.2
I1084,CIC.2
I1085,CIC.2
I1086,CIC.2
I1087,CIC.2
I1088,CIC.2
I1089,CIC.2
I1090,CIC.2
I1091,CIC.2
I1094,CIC.2
I1095,CIC.2
I1096,CIC.2
I1097,CIC.2
I1098,CIC.2
I1099,CIC.2
I1100,CIC.2
I1001,CIC.3
I1016,CIC.3
I1030,CIC.3
I1035,CIC.3
I1043,CIC.3
I1046,CIC.3
I1048,CIC.3
I1059,CIC.3
I1060,CIC.3
I1061,CIC.3
I1068,CIC.3
I1071,CIC.3
I1080,CIC.3
I1081,CIC.3
I1082,CIC.3
I1084,CIC.3
I1086,CIC.3
I1087,CIC.3
I1001,CIC.4
I1016,CIC.4
I1030,CIC.4
I1035,CIC.4
I1044,CIC.4
I1045,CIC.4
I1046,CIC.4
I1052,CIC.4
I1053,CIC.4
I1054,CIC.4
I1057,CIC.4
I1059,CIC.4
I1060,CIC.4
I1061,CIC.4
I1071,CIC.4
I1078,CIC.4
I1079,CIC.4
I1091,CIC.4
I1092,CIC.4
I1093,CIC.4
I1004,CIC.5
I1005,CIC.5
I1006,CIC.5
I1008,CIC.5
I1010,CIC.5
I1016,CIC.5
I1020,CIC.5
I1030,CIC.5
I1040,CIC.5
I1043,CIC.5
I1046,CIC.5
I1052,CIC.5
I1059,CIC.5
I1060,CIC.5
I1061,CIC.5
I1071,CIC.5
I1080,CIC.5
I1082,CIC.5
