indicator_id,dataset_id
I1001,D0005
I1001,D0037
I1004,D0013
I1004,D0029
I1004,D0040
I1005,D0013
I1005,D0014
I1008,D0013
I1008,D0026
I1008,D0028
I1008,D0036
I1010,D0013
I1013,D0027
I1013,D0027
I1013,D0035
I1013,D0038
I1016,D0025
I1025,D0012
I1025,D0041
I1030,D0017
I1035,D0018
I1039,D0005
I1039,D0011
I1039,D0012
I1040,D0011
I1040,D0014
I1043,D0040
I1043,D0049
I1044,D0004
I1044,D0033
I1045,D0051
I1045,D0052
I1045,D0061
I1045,D0062
I1045,D0064
I1045,D0065
I1046,D0043
I1046,D0044
I1048,D0003
I1048,D0018
I1052,D0008
I1052,D0047
I1053,D0015
I1053,D0032
I1057,D0015
I1057,D0033
I1084,D0029
I1086,D0022
I1086,D0029
I1091,D0015
